From,To,Weight,Level,Method,IsRootedBranching
1882.37,747.52,1,53,networkx_arborescence,True
26.58,8.09,1,53,networkx_arborescence,True
3122.29,781.18,1,53,networkx_arborescence,True
44.54,6.38,1,53,networkx_arborescence,True
8.25,4.36,1,53,networkx_arborescence,True
4.25,27.42,1,54,networkx_arborescence,True
4.36,4.7,1,54,networkx_arborescence,True
6.38,6.49,1,54,networkx_arborescence,True
7.16,6.45,1,54,networkx_arborescence,True
747.52,1983.79,1,54,networkx_arborescence,True
781.18,1826.96,1,54,networkx_arborescence,True
8.09,4.26,1,54,networkx_arborescence,True
1826.96,1598.0,1,55,networkx_arborescence,True
1983.79,1076.8,1,55,networkx_arborescence,True
27.42,28.28,1,55,networkx_arborescence,True
4.26,9.1,1,55,networkx_arborescence,True
4.7,31.82,1,55,networkx_arborescence,True
6.45,3.11,1,55,networkx_arborescence,True
6.49,4.73,1,55,networkx_arborescence,True
1076.8,1671.49,1,56,networkx_arborescence,True
1598.0,245.25,1,56,networkx_arborescence,True
28.28,4.22,1,56,networkx_arborescence,True
3.11,19.05,1,56,networkx_arborescence,True
31.82,22.41,1,56,networkx_arborescence,True
4.73,12.33,1,56,networkx_arborescence,True
9.1,28.49,1,56,networkx_arborescence,True
12.33,13.07,1,57,networkx_arborescence,True
1671.49,183.7,1,57,networkx_arborescence,True
19.05,35.0,1,57,networkx_arborescence,True
245.25,1427.89,1,57,networkx_arborescence,True
28.49,17.57,1,57,networkx_arborescence,True
4.22,11.37,1,57,networkx_arborescence,True
11.37,47.79,1,58,networkx_arborescence,True
13.07,23.34,1,58,networkx_arborescence,True
1427.89,136.09,1,58,networkx_arborescence,True
17.57,6.84,1,58,networkx_arborescence,True
183.7,1372.16,1,58,networkx_arborescence,True
35.0,41.2,1,58,networkx_arborescence,True
136.09,577.55,1,59,networkx_arborescence,True
1372.16,1289.74,1,59,networkx_arborescence,True
23.34,12.48,1,59,networkx_arborescence,True
41.2,25.66,1,59,networkx_arborescence,True
47.79,5.12,1,59,networkx_arborescence,True
12.48,9.08,1,60,networkx_arborescence,True
1289.74,155.71,1,60,networkx_arborescence,True
25.66,36.57,1,60,networkx_arborescence,True
5.12,14.41,1,60,networkx_arborescence,True
577.55,313.91,1,60,networkx_arborescence,True
14.41,8.4,1,61,networkx_arborescence,True
155.71,334.43,1,61,networkx_arborescence,True
313.91,1828.38,1,61,networkx_arborescence,True
36.57,9.02,1,61,networkx_arborescence,True
9.08,2.16,1,61,networkx_arborescence,True
1828.38,2213.61,1,62,networkx_arborescence,True
2.16,6.25,1,62,networkx_arborescence,True
334.43,373.58,1,62,networkx_arborescence,True
9.02,4.6,1,62,networkx_arborescence,True
2213.61,529.51,1,63,networkx_arborescence,True
4.6,4.18,1,63,networkx_arborescence,True
6.25,29.8,1,63,networkx_arborescence,True
29.8,33.07,1,64,networkx_arborescence,True
4.18,7.3,1,64,networkx_arborescence,True
529.51,2225.26,1,64,networkx_arborescence,True
2225.26,666.75,1,65,networkx_arborescence,True
33.07,16.8,1,65,networkx_arborescence,True
7.3,31.09,1,65,networkx_arborescence,True
16.8,14.27,1,66,networkx_arborescence,True
666.75,237.41,1,66,networkx_arborescence,True
14.27,11.15,1,67,networkx_arborescence,True
11.15,16.39,1,68,networkx_arborescence,True
16.39,22.98,1,69,networkx_arborescence,True
22.98,3.57,1,70,networkx_arborescence,True
3.57,27.77,1,71,networkx_arborescence,True
27.77,26.44,1,72,networkx_arborescence,True
