From,To,Weight,Level,ParentPath,Score,Strategy,Reason
84,195,8,5,150 -> 120 -> 15 -> 126 -> 84,0.2868909649723533,multiobjective,mantida por diversidade estrutural
87,18,10,5,150 -> 120 -> 15 -> 126 -> 87,0.33631764792592145,multiobjective,mantida por diversidade estrutural
87,172,10,5,150 -> 120 -> 15 -> 126 -> 87,0.3340449206531942,multiobjective,mantida por diversidade estrutural
87,43,9,5,150 -> 120 -> 15 -> 126 -> 87,0.31060639257557787,multiobjective,mantida por diversidade estrutural
66,97,8,5,150 -> 120 -> 15 -> 93 -> 66,0.2866547541187829,multiobjective,mantida por diversidade estrutural
66,23,8,5,150 -> 120 -> 15 -> 93 -> 66,0.2856590831231119,multiobjective,mantida por diversidade estrutural
66,13,8,5,150 -> 120 -> 15 -> 93 -> 66,0.28513960260363136,multiobjective,mantida por diversidade estrutural
166,81,10,5,150 -> 120 -> 15 -> 93 -> 166,0.3334546442900671,multiobjective,mantida por diversidade estrutural
166,72,9,5,150 -> 120 -> 15 -> 93 -> 166,0.31128875732584915,multiobjective,mantida por diversidade estrutural
166,135,8,5,150 -> 120 -> 15 -> 93 -> 166,0.2872289309676918,multiobjective,mantida por diversidade estrutural
77,148,9,5,150 -> 120 -> 15 -> 93 -> 77,0.3099289657621625,multiobjective,mantida por diversidade estrutural
77,110,9,5,150 -> 120 -> 15 -> 93 -> 77,0.3074247570079537,multiobjective,mantida por diversidade estrutural
77,113,8,5,150 -> 120 -> 15 -> 93 -> 77,0.28902355879195585,multiobjective,mantida por diversidade estrutural
28,35,8,5,150 -> 120 -> 15 -> 89 -> 28,0.2886004884360049,multiobjective,mantida por diversidade estrutural
28,81,8,5,150 -> 120 -> 15 -> 89 -> 28,0.28602161753521615,multiobjective,mantida por diversidade estrutural
28,9,8,5,150 -> 120 -> 15 -> 89 -> 28,0.28359841288598414,multiobjective,mantida por diversidade estrutural
181,121,10,5,150 -> 120 -> 15 -> 89 -> 181,0.3330872549966594,multiobjective,mantida por diversidade estrutural
181,167,9,5,150 -> 120 -> 15 -> 89 -> 181,0.30955330427176825,multiobjective,mantida por diversidade estrutural
181,82,9,5,150 -> 120 -> 15 -> 89 -> 181,0.30955330427176825,multiobjective,mantida por diversidade estrutural
74,40,11,5,150 -> 120 -> 15 -> 89 -> 74,0.3582737634595597,multiobjective,mantida por diversidade estrutural
74,23,11,5,150 -> 120 -> 15 -> 89 -> 74,0.35653638972218604,multiobjective,mantida por diversidade estrutural
74,73,8,5,150 -> 120 -> 15 -> 89 -> 74,0.2876507493357395,multiobjective,mantida por diversidade estrutural
82,161,8,5,150 -> 120 -> 122 -> 139 -> 82,0.2871243992228154,multiobjective,mantida por diversidade estrutural
82,195,8,5,150 -> 120 -> 122 -> 139 -> 82,0.28684529236476114,multiobjective,mantida por diversidade estrutural
82,159,8,5,150 -> 120 -> 122 -> 139 -> 82,0.2857089287283975,multiobjective,mantida por diversidade estrutural
53,69,9,5,150 -> 120 -> 122 -> 139 -> 53,0.31146502141131466,multiobjective,mantida por diversidade estrutural
53,167,9,5,150 -> 120 -> 122 -> 139 -> 53,0.309354631800925,multiobjective,mantida por diversidade estrutural
53,28,8,5,150 -> 120 -> 122 -> 139 -> 53,0.2869648194170801,multiobjective,mantida por diversidade estrutural
117,64,9,5,150 -> 120 -> 122 -> 139 -> 117,0.31106655890460116,multiobjective,mantida por diversidade estrutural
117,157,8,5,150 -> 120 -> 122 -> 139 -> 117,0.28868849093341736,multiobjective,mantida por diversidade estrutural
117,35,8,5,150 -> 120 -> 122 -> 139 -> 117,0.28863992838485486,multiobjective,mantida por diversidade estrutural
166,81,10,5,150 -> 120 -> 122 -> 100 -> 166,0.3331040173215047,multiobjective,mantida por diversidade estrutural
166,72,9,5,150 -> 120 -> 122 -> 100 -> 166,0.3111491008214217,multiobjective,mantida por diversidade estrutural
166,88,8,5,150 -> 120 -> 122 -> 100 -> 166,0.28718416216613046,multiobjective,mantida por diversidade estrutural
143,99,10,5,150 -> 120 -> 122 -> 100 -> 143,0.33277250575124495,multiobjective,mantida por diversidade estrutural
143,192,9,5,150 -> 120 -> 122 -> 100 -> 143,0.3096827551761205,multiobjective,mantida por diversidade estrutural
143,52,9,5,150 -> 120 -> 122 -> 100 -> 143,0.30892517941854475,multiobjective,mantida por diversidade estrutural
68,163,9,5,150 -> 120 -> 122 -> 100 -> 68,0.30978167003795787,multiobjective,mantida por diversidade estrutural
68,62,8,5,150 -> 120 -> 122 -> 100 -> 68,0.28629593183238516,multiobjective,mantida por diversidade estrutural
68,89,8,5,150 -> 120 -> 122 -> 100 -> 68,0.28605743576055576,multiobjective,mantida por diversidade estrutural
159,103,10,5,150 -> 120 -> 122 -> 81 -> 159,0.3330235002992518,multiobjective,mantida por diversidade estrutural
159,59,9,5,150 -> 120 -> 122 -> 81 -> 159,0.3082235523388019,multiobjective,mantida por diversidade estrutural
159,53,8,5,150 -> 120 -> 122 -> 81 -> 159,0.28814459477007404,multiobjective,mantida por diversidade estrutural
90,7,9,5,150 -> 120 -> 122 -> 81 -> 90,0.31028001869467525,multiobjective,mantida por diversidade estrutural
90,34,8,5,150 -> 120 -> 122 -> 81 -> 90,0.2875347154126698,multiobjective,mantida por diversidade estrutural
90,197,8,5,150 -> 120 -> 122 -> 81 -> 90,0.2867543211081791,multiobjective,mantida por diversidade estrutural
10,119,9,5,150 -> 120 -> 122 -> 81 -> 10,0.3092464671343982,multiobjective,mantida por diversidade estrutural
